accession,title,organism,technology,geo_study_type,gpl_accessions,sample_count,sample_count_confidence,score,score_reason,sle_relevance,tissue,case_control_hint,treatment_hint,clinical_info_hint,source_journals,source_journal_impact_factor,source_journal_impact_factor_year,gse_reuse_total_count,publication_date,last_update_date,url,search_date,manual_review,notes
GSE37356,Inflammatory Expression Profiles in Monocyte to Macrophage Differentiation amongst Patients with Systemic Lupus Erythematosus and Healthy Controls with and without an Atherosclerosis Phenotype,Homo sapiens,expression array,Expression profiling by array,GPL10558,SLE=0; control=0; other/unclear=72; total=72,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,monocyte,yes,no,yes,Arthritis research & therapy,5.4,2025,14,2012/04/17,Jan 28 2020,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE37356,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE45291,Inhibition of Lymphotoxin-LIGHT Signaling Reduces the Interferon Signature in Rheumatoid Arthritis Patients,Homo sapiens,expression array,Expression profiling by array,GPL13158,SLE=0; control=0; other/unclear=805; total=805,low,0,human; total samples >=20; tissue/source clear; SLE/control groups unclear; no SLE samples parsed; mixed disease cohort unclear,matched SLE in disease context,blood,no,no,no,BMC medical genomics; PloS one,2.8,2025,52,2015/05/14,Feb 15 2019,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE45291,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE4588,Identification of genes specifically over-expressed in lupus CD4 T and B cells,Homo sapiens,expression array,Expression profiling by array,GPL570,SLE=0; control=0; other/unclear=49; total=49,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed; mixed disease cohort unclear,matched Systemic Lupus Erythematosus,PBMC; B cell; T cell,yes,yes,yes,,,,42,2006/12/31,Mar 25 2019,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE4588,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE49454,Modular repertoire analyses identify dynamic type I and type II interferon transcriptional signatures in adult SLE patients,Homo sapiens,expression array,Expression profiling by array,GPL10558,SLE=0; control=0; other/unclear=177; total=177,low,0,human; total samples >=20; clinical metadata mentioned; SLE/control groups unclear; no SLE samples parsed,matched SLE in disease context,,yes,yes,yes,"Arthritis & rheumatology (Hoboken, N.J.)",10.9,2024,51,2014/04/01,Aug 13 2018,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE49454,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE50635,"Activation of the Interferon Pathway is Dependent upon Autoantibodies in African-American SLE Patients, but not in European-American SLE Patients",Homo sapiens,expression array,Expression profiling by array,GPL6244,SLE=0; control=0; other/unclear=49; total=49,low,0,human; total samples >=20; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,blood,yes,no,no,Frontiers in immunology,7.0,2025,10,2013/11/15,Nov 08 2022,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE50635,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE50772,Expression data in PBMCs from SLE patients and controls,Homo sapiens,expression array,Expression profiling by array,GPL570,SLE=0; control=0; other/unclear=81; total=81,low,0,human; total samples >=20; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched SLE in disease context,blood; PBMC,yes,no,no,Lupus science & medicine,4.2,2025,91,2015/03/31,Mar 25 2019,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE50772,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE62764,Genome-wide peripheral blood transcriptome analysis of Arab female Lupus and Lupus nephritis,Homo sapiens,expression array,Expression profiling by array,GPL5188,SLE=0; control=0; other/unclear=11; total=11,low,0,human; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Lupus Nephritis,blood,yes,no,yes,Gene,2.7,2025,0,2016/01/06,Nov 09 2016,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE62764,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE72326,Modular transcriptional repertoire analyses identify neutrophil signature as candidate biomarker for lupus nephritis,Homo sapiens,expression array,Expression profiling by array,GPL10558,SLE=0; control=0; other/unclear=238; total=238,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Lupus Nephritis,kidney; neutrophil,yes,yes,yes,,,,34,2022/01/02,Jan 03 2024,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE72326,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE72509,SLE lupus RNA-seq,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL16791,SLE=0; control=0; other/unclear=117; total=117,low,0,human; total samples >=20; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,blood,yes,no,no,"Science (New York, N.Y.)",6,2025,48,2015/09/16,May 15 2019,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE72509,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE88884,Gene expression changes in baseline SLE patients vs. healthy controls from two phase III trials (ILLUMINATE-1 and ILLUMINATE-2) of B cell activating factor blockade with tabalumab,Homo sapiens,expression array,Expression profiling by array,GPL17586,SLE=0; control=0; other/unclear=1820; total=1820,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,blood; B cell,yes,yes,yes,"Arthritis & rheumatology (Hoboken, N.J.); PloS one",10.9,2024,18,2016/10/25,Dec 31 2019,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE88884,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE88885,Pharmacodynamic-induced changes in SLE Patients from the ILLUMINATE-1 phase III trial of B cell activating factor blockade with tabalumab,Homo sapiens,expression array,Expression profiling by array,GPL17586,SLE=0; control=0; other/unclear=908; total=908,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,blood; B cell,yes,yes,yes,"Arthritis & rheumatology (Hoboken, N.J.); PloS one",10.9,2024,4,2016/10/25,Dec 31 2019,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE88885,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE88886,Pharmacodynamic-induced changes in SLE Patients from the ILLUMINATE-2 phase III trial of B cell activating factor blockade with tabalumab,Homo sapiens,expression array,Expression profiling by array,GPL17586,SLE=0; control=0; other/unclear=418; total=418,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,blood; B cell,yes,yes,yes,"Arthritis & rheumatology (Hoboken, N.J.); PloS one",10.9,2024,1,2016/10/25,Dec 31 2019,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE88886,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE88887,Gene expression and pharmacodynamic-induced changes in 1760 SLE Patients from two phase III trials of B cell activating factor blockade with tabalumab,Homo sapiens,expression array,Expression profiling by array,GPL17586,SLE=0; control=0; other/unclear=3146; total=3146,low,0,human; total samples >=20; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched SLE in disease context,B cell,yes,no,no,"Arthritis & rheumatology (Hoboken, N.J.); PloS one",10.9,2024,4,2016/10/25,Dec 31 2019,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE88887,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE92387,Gene expresison studies of lupus and healthy B cell subsets through RNA sequencing,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL11154,SLE=0; control=0; other/unclear=24; total=24,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched SLE in disease context,B cell,yes,no,yes,Immunity,30.6,2025,9,2018/09/01,Apr 22 2021,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE92387,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE94815,The CD4+ CD52 low T Cells Contributes to the Development of Systemic Lupus Erythematosus through the CCR8/TARC Pathways,Homo sapiens,expression array,Expression profiling by array,GPL16699,SLE=0; control=0; other/unclear=10; total=10,low,0,human; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed; mixed disease cohort unclear,matched Systemic Lupus Erythematosus,blood; T cell,yes,no,yes,,,,1,2017/02/14,Mar 27 2018,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE94815,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE99339,Transcriptome-based network analysis reveals renal cell type-specific dysregulation of hypoxia-associated transcripts [glomeruli],Homo sapiens,expression array,Expression profiling by array,GPL19109; GPL19184,SLE=0; control=0; other/unclear=187; total=187,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,kidney; T cell,no,yes,yes,Scientific reports,4.9,2025,46,2017/08/12,Jul 25 2021,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE99339,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
GSE99967,Identification of a neutrophil-related gene expression signature that distinguishes between adult patients with and without nephritis in active systemic lupus erythematosus,Homo sapiens,expression array,Expression profiling by array,GPL21970,SLE=0; control=0; other/unclear=59; total=59,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; SLE/control groups unclear; no SLE samples parsed,matched Systemic Lupus Erythematosus,blood; kidney; neutrophil,yes,yes,yes,PloS one,2.8,2025,28,2018/02/28,Jul 25 2021,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE99967,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; imported from sle_geo_gse_accessions.csv after GEO verification
