accession,title,summary,organism,technology,geo_study_type,gpl_accessions,gpl_titles,sample_count,sample_count_confidence,score,score_reason,ra_relevance,tissue,case_control_hint,treatment_hint,clinical_info_hint,processed_data_hint,publication_date,last_update_date,url,search_date,notes
GSE186166,Treatment of human polymorphonuclear neutrophils with platelet-derived mitochondria or damage-associated molecular patterns,"Inflammation is an essential process of the host defense against infections, illness, or tissue injuries. However, unregulated inflammation has been associated with chronic inflammatory autoimmune diseases, such as rheumatoid arthritis, multiple sclerosis, and atherosclerosis. Polymorphonuclear neutrophils (PMNL) are amongst the first immune cells involved in the acute inflammatory response used to fight bacterial infections. Once activated, PMNL releases inflammatory mediators, enzymes and large quantities of microparticles in the extracellular milieu to recruit various immune cells required to fight the invading pathogens. Recent evidence also shows that platelets (PLTs), well known for their coagulation proprieties, are also implicated in the body’s inflammatory response. Interestingly, activated PLTs can release fully functional mitochondria in the extracellular milieu. Known as the powerhouse of the cell, the mitochondria share similar characteristics with bacteria. Therefore, we hypothesize that PLTs-derived mitochondria present in the extracellular milieu, acting in a similar way as bacteria, induce a sterile inflammatory response that involves the PMNL. The objective of this study was to investigate the sterile inflammatory response of PMNL caused by the exposure to PLTs-derived extracellular mitochondria. Blood was obtained from healthy consenting donors, then PMNL and PLTs-derived mitochondria were isolated and purified. Following the co-incubation of PMNL with various physiological doses of PLTs-derived mitochondria, a characterization of the interaction between PMNL and PLTs-derived mitochondria and an investigation of the inflammatory proprieties of PMNL were performed using flow cytometry, transmission electron microscopy, and high-resolution respirometry. While the transcriptomic analysis indicated that several mitochondrial genes had increased expression, no mitochondrial-dependent increase in oxygen consumption was observed by high-resolution respirometry experiments. However, our data show that PLTs-derived mitochondria significantly induce, in a dose-dependent manner, the release of PMNL microparticles. This study provides new insight into the role of PLTs-derived mitochondria in the context of sterile inflammation.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,,RA=0; control=4; other/unclear=8; total=12,low,50,human; controls clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear; no RA samples parsed,matched rheumatoid arthritis,blood; macrophage,yes,yes,yes,yes,2022/09/15,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE186166,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE243512,Transcriptomic Analysis of Isolated Monocytes from heathy donors and JIA patinets using Nanostring Technology,"Among immune cells, activated monocytes play a detrimental role in chronic and viral-induced inflammatory pathologies. The uncontrolled activation of monocytes and the subsequent excessive production of inflammatory factors damage bone-cartilage joints in Juvenile Idiopathic Arthritis (JIA), a childhood rheumatoid arthritis (RA) disease. The moderate beneficial effect of current therapies and clinical trials highlights the need of alternative strategies targeting monocytes to treat RA disease. Here, we show that targeting CXCR4 with small amino compound such as the histamine analog clobenpropit (CB) inhibits spontaneous and induced-production of a set of key inflammatory cytokines by monocytes isolated from blood and synovial fluids of JIA patients. Moreover, daily intraperitoneal CB treatment of arthritic mice results in significant decrease in circulating inflammatory cytokine levels, immune cell infiltrates, joints erosion, and bone resorption leading to reduction of disease progression. These overall data show that targeting CXCR4 with CB-like molecules may represent a promising therapeutic option for chronic and viral-induced inflammatory diseases.",Homo sapiens,expression array,Expression profiling by array,GPL18649,,RA=0; control=6; total=6,low,50,human; controls clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear; no RA samples parsed,matched rheumatoid arthritis,blood; monocyte,yes,yes,yes,yes,2023/09/21,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243512,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE282993,TNFα Downregulates STX17 Blocking Autophagy and Impairing Platelet Metabolism and Clot Contraction,"Platelets are key players in hemostasis and thrombosis. In inflammatory conditions, platelets are hyperreactive and patients have an overal increased thrombotic risk. Our previous research demonstrated that TNFα significantly increases mitochondrial mass and platelet reactivity, emphasizing the crucial role of TNFα in modulating platelet metabolism and function.We hypothesized that TNFα disrupts platelet metabolism and function by inhibiting autophagy and mitophagy, which are critical processes for preserving mitochondrial mass, integrity, and energy production. We investigated the function, metabolism, and autophagy of human and mouse platelets in myeloproliferative neoplasms, rheumatoid arthritis, and aseptic inflammation. Our analysis reveled a blocked",Mus musculus,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24247,,RA=0; control=8; total=8,low,50,human; controls clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear; no RA samples parsed,matched rheumatoid arthritis,blood,yes,yes,yes,yes,2025/03/31,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282993,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE284057,5’ HOXD genes differentially regulate gene expression of Synovial Fibroblasts in hand joints,"We previously demonstrated that Homeobox (HOX) transcription factors are differentially expressed between joint locations and can accurately assign synovial fibroblasts (SFs) to their correct joint location. We show here that the expression of the 5’HOXD transcription factors HOXD10, HOXD11, and HOXD13 in SFs strikingly overlaps with predilection sites for the development of rheumatoid arthritis (RA). Changes in SFs gene expression after silencing 5’HOXDs aligned with joint-specific differences of RA SFs. In particular, we identify HOXD13 as regulator or primary cilia function in SFs modulating cell cycle, DNA damage and proteasome activity. Accordingly, we show joint specific differences in primary cilia morphology, DNA damage repair and proteasome activity. We thus propose that HOXD13 and primary cilia play a role in shaping joint-specific SFs functions that might underlie the pathognomic pattern of joint involvement in RA.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL20301,,RA=0; control=12; total=12,low,50,human; controls clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear; no RA samples parsed,matched rheumatoid arthritis,synovium; synovial fibroblast,yes,no,yes,yes,2026/06/01,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE284057,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE98368,IFN-γ Represses M2 Gene Expression in Human Macrophages by Suppressing and Disassembling MAF-binding Enhancers [RNA-seq],"Mechanisms by which IFN-γ activates genes to promote macrophage activation are well studied, but little is known about mechanisms and functions of IFN-γ-mediated gene repression. We used an integrated transcriptomic and epigenomic approach to analyze chromatin accessibility, histone modifications, transcription factor binding, and gene expression in IFN-γ-primed human macrophages. IFN-γ suppressed basal expression of genes corresponding to an ‘M2’-like homeostatic/reparative phenotype. IFN-γ repressed genes by suppressing the function of enhancers enriched for binding by transcription factor MAF. Mechanistically, IFN-γ ‘disassembled’ a subset of enhancers by inducing coordinate suppression of binding by MAF, lineage-determining transcription factors, and chromatin accessibility. Genes associated with MAF-binding disassembled enhancers were suppressed in rheumatoid arthritis macrophages, revealing a disease-associated ‘negative IFN-γ signature’. These results identify enhancer inactivation and disassembly as a mechanism of IFN-γ-mediated gene repression, and MAF as a regulator of the macrophage enhancer landscape that is suppressed by IFN-γ to augment macrophage activation.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL11154,,RA=0; control=16; total=16,low,50,human; controls clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear; no RA samples parsed,matched rheumatoid arthritis,blood; PBMC; macrophage; monocyte,yes,yes,yes,yes,2017/07/01,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE98368,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE203359,Strand-Specific Nuclear Transcriptome Analysis of Osteoclast Precursor Cells,"To understand the pathogenic mechanisms of bone erosion in rheumatoid arthritis (RA), we investigated osteoclast-specific epigenetic programs, RANKL-responsive super-enhancers (SEs) and SE-associated enhancer RNAs (SE-eRNAs) in human osteoclasts. In this dataset, we validated the presence of the predicted SE-eRNAs.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL16791,,RA=0; control=2; other/unclear=2; total=4,low,45,human; controls clear; RA/control counts shown; processed data likely available; tissue/source clear; no RA samples parsed,matched rheumatoid arthritis,blood; monocyte,yes,yes,no,yes,2022/11/01,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE203359,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE236924,SIRPa agonist antibody treatment ameliorates experimental arthritis and colitis [array],"The innate immune system is finely tuned to enable. rapid response to pathogenic stimuli but keep quiescent during tissue homeostasis. Balance of activating and inhibitory signaling sets a threshold for immune activation. Signal regulatory protein (SIRPa) is an immune inhibitory receptor expressed by myeloid cells and interacts with CD47 to inhibit immune cell phagocytosis, migration, and activation. Despite the progress of SIRPa and CD47 antagonist antibodies to promote anti-cancer immunity, it is not yet known whether therapeutic SIRPa receptor agonism could restrain excessive autoimmune inflammation in the context of autoimmunity. Here, we reported that increased neutrophil- and monocyte-associated genes including SIRPA in inflamed tissues biopsies of rheumatoid arthritis and inflammatory bowel diseases, and elevated SIRPA in colonic biopsies is associated with treatment refractory ulcerative colitis patients. We next identified a novel agonistic anti-SIRPa antibody that exhibited potent anti-inflammatory effects in reducing neutrophil and monocytes chemotaxis and tissue infiltration. In preclinical models of arthritis and colitis, anti-SIRPa agonistic antibody ameliorates autoimmune joint inflammation and inflammatory colitis through reducing neutrophils and monocytes in tissues. Our work provides a proof-of-concept for SIRPa receptor agonism for suppressing excessive innate immune activation and autoimmune inflammatory therapeutic treatment",Homo sapiens,expression array,Expression profiling by array,GPL570,,RA=0; control=7; other/unclear=125; total=132,low,45,human; controls clear; RA/control counts shown; total samples >=20; processed data likely available; clinical metadata mentioned; tissue/source clear; no RA samples parsed; mixed disease cohort unclear,matched rheumatoid arthritis,monocyte; T cell,yes,yes,yes,yes,2023/08/24,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE236924,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE280445,Effect of MSMP inhibition on the gene expression profiles of rheumatoid fibroblast-like synoviocytes,"To explore the downstream target of MSMP, RNA-sequencing (RNA-seq) was used to display gene expression profiles in fibroblast-like synoviocytes (FLSs) from 3 patients with rheumatoid arthritis (RA) between control siRNA (siC) group and siMSMP-2 group (with the highest interference efficiency for MSMP). The heatmap and volcano diagram showed a total of 216 differentially expressed genes with 77 upregulated genes and 139 downregulated genes (Fold change≥1.5，p<0.05)",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,,RA=0; control=3; other/unclear=3; total=6,low,45,human; controls clear; RA/control counts shown; processed data likely available; tissue/source clear; no RA samples parsed,matched rheumatoid arthritis,synovium; synovial fibroblast,yes,yes,no,yes,2024/10/28,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE280445,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE113825,Microarray profiling analysis of long non-coding RNAs expression in osteoarthritis,"Osteoarthritis (OA) is the most common motor system disease in aging people, characterized by matrix degradation, chondrocyte death, and osteophyte formation. OA etiology is unclear, but long noncoding RNAs (lncRNAs) that participate in numerous pathological and physiological processes may be key regulators in the onset and development of OA. Because profiling of lncRNAs and their biological function in OA is not understood, we measured lncRNA and mRNA expression profiles using high-throughput microarray to study human knee OA. We identified 2,042 lncRNAs and 2,011 mRNAs that were significantly differentially expressed in OA compared to non-OA tissue (>2.0- or <-2.0-fold change; p<0.5), including 1,137 lncRNAs that were upregulated and 905 lncRNAs that were downregulated. Also, 1,386 mRNA were upregulated and 625 mRNAs were downregulated. Gene Ontology analysis and the Kyoto Encyclopedia of Genes and Genomes was used to study the biological function enrichment of differentially expressed mRNA. Additionally, coding-non-coding gene co-expression (CNC) network construction was performed to explore the relevance of dysregulated lncRNAs and mRNAs. Finally, QPCR was used to validate chip results. In general, this study provides a preliminary database for further exploring lncRNA-related mechnisms in OA. OA cartilage were collected from 19 patients undergoing total knee joint replacement due to severe OA, and normal cartilage were collected from 11 patients (trauma, thromboangiities obliterans, or osteosarcoma, or limb amputation) without history of rheumatoid arthritis or OA",Homo sapiens,expression array,Expression profiling by array,GPL22516; GPL22517,,RA=0; control=10; other/unclear=10; total=20,low,35,human; controls clear; RA/control counts shown; total samples >=20; processed data likely available; no RA samples parsed; mixed disease cohort unclear,matched rheumatoid arthritis,,yes,no,no,yes,2018/05/11,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE113825,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE202712,Meg-01 cell line expression data after propionate stimulation,"Platelets are produced by megakaryocytes, deriving from megakaryocyte erythrocyte progenitors (MEP) in the bone marrow. Increased megakaryocyte expansion across common autoimmune diseases was shown for rheumatoid arthritis (RA), systemic lupus erythematosus (SLE) and primary Sjögren’s syndrome (pSS). In this context, we evaluated the role of the microbial-derived short chain fatty acid (SCFA) propionate on megakayriocytes in vitro. Using RNA sequencing we characterized the consequences of propionate exposure on the megakaryoblast cell line Meg-01.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL16791,,RA=0; control=3; other/unclear=3; total=6,low,35,human; controls clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear; no RA samples parsed; mixed disease cohort unclear,matched rheumatoid arthritis,T cell,yes,yes,yes,yes,2022/05/14,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE202712,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE234510,Intron retention phenomenon in phospholipase C gamma 1 isoform: how the Harpagophytum procumbens extract works? A cellular and bioionformatic approach.,"Harpagophytum procumbens is an African plant, commonly known as devil’s claw, used since the times of traditional medicine as a natural remedy for Osteoarthritis (OA) treatment, the most common joint disease. Nowadays, there is no cure for OA disease; all the therapies are aimed to reduce pain and inflammation and improve the patient quality of life. Given the widespread of pathology and its early onset in patients, the use of a natural remedy for the treatment of symptoms in the early stages of the disease allows to avoid the prolonged administration of analgesics and anti-inflammatory drugs responsible of the onset of several side effects, and at the same time achieving good therapeutic results. In our experimental conditions, the analgesic and anti-inflammatory effect of a H. procumbens extract (HPE) was tested in vitro on human primary synoviocytes isolated from OA patients that underwent total knee replacement surgery. In last years, we demonstrated an anti-nociceptive role of the HPE on endocannabinoid type 2 receptors (CB2) and an antinflammatory effect on MAPK pathway, and we investigated in depth its effects on several signaling pathways. In particular, performing PCR analyses on both HPE-treated and un-treated synoviocytes, we observed a very interesting result on the phospholipase C γ1 enzyme gene expression. Both samples showed two PCR products, a lower band at 300 bp which was the expected product, and a higher band at 500 bp which was an unexpected product. The surprising result of this experiment concerned the HPE ability to modulate the expression of these two PCR products. While in the untreated sample the product at 300 bp was the most expressed, the HPE treatment induced a decrease in this product expression, increasing that of the product with more base pairs. By investigating the composition of this product through a Sanger sequencing analysis, it has been observed that HPE interferes with the PLC γ1 gene splicing process by stimulating the intron retention during the mRNA maturation. We verified that the introns that were retained in our experimental conditions were also described by the Human and Vertebrate Analysis and Annotation (HAVANA) group, however nobody in literature has attributed this effect to HPE by explaining its molecular mechanisms. Moreover, we demonstrate that samples from different patients had diverse treatment responses regarding the phenomenon of intron retention. Indeed, it has been observed that only in approximately 37% of the HPE treated samples the intron retention phenomenon occurred, while in the remaining part of the samples no modulation was observed. However, as well as the mechanism by which the extract inhibited the splicing process was not clear enough, similarly we have not been able to understand what mentioned inter-individual variability depends on. For these reasons, in the coming months, we plan to conduct and analyze RNAseq experiments in order to understand how HPE works in the intron retention and what factors influence the treatment response among patients. In recent years, much progress has been made in the analysis and identification of retained introns considered, but still many challenges remain open. It has been shown that this phenomenon is involved in many pathologies, such as rheumatoid arthritis, Alzheimer’s disease and carcinogenic processes, with potential biological consequences for gene expression and cell survival. For this reason, understanding how a substance is able to modulate the intron retention phenomenon is the main innovative aspect of this study and opens up new perspectives in several disease therapeutic treatment.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL16791,,RA=0; control=9; total=9,low,35,human; controls clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear; no RA samples parsed; mixed disease cohort unclear,matched rheumatoid arthritis,synovium; blood,yes,yes,yes,yes,2025/09/17,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE234510,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE291300,Targeting eRNA-producing super-enhancers regulates TNFα expression and mitigates chronic inflammation in mice and patient-derived immune cells [RNA-KO],"Chronic inflammatory diseases are driven by immune cell dysregulation and overproduction of pro-inflammatory molecules, such as tumor necrosis factor alpha (TNFα). Super-enhancers (SEs) and their enhancer RNAs (eRNAs) are critical gene expression regulators and offer therapeutic potential beyond protein-targeting approaches. We hypothesized that targeting eRNAs could reduce chronic inflammation by modulating TNFα expression. We generated TNF-9 knockout (KO) mice by deleting a Tnfα-regulating enhancer region. These mice exhibited significantly reduced Tnfα levels, improved disease outcomes, and diminished immune cell activation in models of rheumatoid arthritis (RA), psoriasis, and lipopolysaccharide (LPS)-induced sepsis. Integrative epigenomic and transcriptomic analysis identified additional LPS-responsive, eRNA-producing enhancers as therapeutic targets. Antisense oligonucleotide (ASO)-mediated knockdown of TNF-9 eRNA in mouse macrophages demonstrated decreased Tnfα expression and alleviated RA symptoms. Furthermore, ASO-mediated inhibition of the eRNA of the human homolog of TNF-9 similarly reduced TNFα levels. These findings support eRNA-targeted interventions as potential treatment for chronic inflammatory diseases.",Mus musculus,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL21493,,RA=0; control=6; other/unclear=6; total=12,low,35,human; controls clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; tissue/source clear; no RA samples parsed; mixed disease cohort unclear,matched rheumatoid arthritis,macrophage,yes,yes,yes,yes,2025/03/11,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE291300,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE86139,Induction of alternative proinflammatory cytokines accounts for sustained psoriasiform skin inflammation in IL-17C+IL-6KO mice [array],"IL-6 inhibition has been unsuccessful in treating psoriasis, despite high levels of tissue and serum IL-6 in patients. Additionally, de novo psoriasis onset has been reported following IL-6 blockade in rheumatoid arthritis patients. To explore mechanisms underlying these clinical observations, we backcrossed an established psoriasiform mouse model (IL-17C+ mice) with IL-6 deficient mice (IL-17C+KO) and examined the cutaneous phenotype. IL-17C+KO mice initially exhibited decreased skin inflammation, however this decrease was transient and reversed rapidly, concomitant with increases in skin Tnf, Il36α/β/γ, Il24, epigen and S100a8/a9 to levels higher than those found in IL-17C+ mice. Comparison of IL-17C+ and IL-17C+KO mouse skin transcriptomes with that of human psoriasis skin, revealed significant correlation among transcripts of psoriasis patient skin and IL-17C+KO mouse skin, and confirmed an exacerbation of the inflammatory signature in IL-17C+KO mice that aligns closely with human psoriasis. Transcriptional analyses of IL-17C+ and IL-17C+KO primary keratinocytes confirmed increased expression of proinflammatory molecules, suggesting that in the absence of IL-6, keratinocytes increase production of numerous additional proinflammatory cytokines. These preclinical findings may provide insight into why arthritis patients being treated with IL-6 inhibitors develop new onset psoriasis and why IL-6 blockade for the treatment of psoriasis has not been clinically effective.",Mus musculus,expression array,Expression profiling by array,GPL16570,,RA=0; control=2; other/unclear=10; total=12,low,30,human; controls clear; RA/control counts shown; processed data likely available; clinical metadata mentioned; no RA samples parsed; mixed disease cohort unclear,matched rheumatoid arthritis,,yes,yes,yes,yes,2017/08/01,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86139,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE179302,Physical Activity Moderates Inflammatory Gene Expression in Rheumatoid Arthritis,"Background/Purpose: Prior studies show an independent association between greater physical activity and lower inflammatory markers among adults in the general population, but the impact of physical activity on systemic inflammation in people with rheumatoid arthritis (RA) hasn’t been thoroughly investigated. We therefore aimed to determine whether physical activity behavior associates with differential expression of inflammatory genes in RA. Methods: Data derive from baseline assessments for a prospective observational cohort of patients with RA. At each study visit, we obtained detailed clinical information, collected peripheral whole blood for subsequent RNA sequencing (RNA-seq), and provided participants with actigraphs (GT9X ActiGraph Link device) to objectively measure physical activity by wearing the device at home for 7 consecutive 24-hour periods. Participants were categorized into three physical activity groups based on the highest (“active”), middle (“intermediate”), and lowest (“inactive”) tertiles for percentage of time spent in moderate/vigorous physical activity (metabolic equivalent (MET) level ≥2.00) across the sample. Results: There were 35 patients with complete clinical, actigraphy, and transcriptomic data available for analysis. The participants had a mean age of 56 years, were 90% female, and self-reported the following racial/ethnic identities: 32% white, 11% African American, 8% Asian, 40% Hispanic. Participants spent 48%, 41%, and 12% of time awake in sedentary, light, and moderate physical activity, respectively. None of the participants achieved vigorous activity. The patients in the most active group were younger but did not otherwise significantly differ by clinical and demographic characteristics compared to the other physical activity groups. However, in the differential gene expression analysis comparing the highest versus lowest physical activity tertiles, there were 365 up- and 402 down-regulated genes at an adjusted P value < 0.1. Gene set enrichment analysis revealed that the most physically active patients exhibited downregulation of diverse innate and adaptive immune signaling pathways. Assessment of upstream cytokine activation states demonstrated inhibition of type I, II and III interferons and activation of EPO in the highest physical activity tertile patients. Conclusion: Among a racially and ethnically diverse RA cohort, participants who spent more time in moderately intense physical activity had down-regulation of genes involved in both innate and adaptive immune signaling compared to those who were more sedentary. These findings provide mechanistic evidence to support a disease-modifying effect of physical activity in RA.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,,RA=0; control=0; other/unclear=35; total=35,low,10,human; total samples >=20; processed data likely available; clinical metadata mentioned; tissue/source clear; RA/control groups unclear; no RA samples parsed,matched rheumatoid arthritis,blood,no,yes,yes,yes,2021/09/01,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE179302,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE186963,"Whole blood gene expression from infliximab treated Crohn's disease patients at three time points: pre-treatment, two weeks and fourteen weeks post first treatment","Personalized treatment of complex diseases is an unmet medical need pushing towards drug biomarker identification of one drug-disease combination at a time. Here, we used a novel computational approach for modeling cell-centered individual-level network dynamics from high-dimensional blood data to predict infliximab response and uncover individual variation of non-response. We identified and validated that the RAC1-PAK1 axis is predictive of infliximab response in inflammatory bowel disease. Intermediate monocytes, which closely correlated with inflammation state, play a key role in the RAC1-PAK1 responses, supporting their modulation as a therapeutic target. This axis also predicts response in Rheumatoid arthritis, validated in three public cohorts. Our findings support pan-disease drug response diagnostics from blood, implicating common mechanisms of drug response or failure across diseases.",Homo sapiens,expression array,Expression profiling by array,GPL23159,,RA=0; control=0; other/unclear=72; total=72,low,10,human; total samples >=20; processed data likely available; clinical metadata mentioned; tissue/source clear; RA/control groups unclear; no RA samples parsed,matched rheumatoid arthritis,blood; monocyte,yes,yes,yes,yes,2024/11/01,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE186963,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE272019,Opposing Regulation of TNF Responses and IL-1b+ Macrophages by PGE2-cAMP Signaling and IFN-g [RNA-seq],"IL-1b-expressing macrophages elicited by cooperation between PGE2 and TNF signaling have been identified and proposed to be pathogenic in rheumatoid arthritis (RA) and pancreatic cancer, but mechanisms that induce these cells and the extent to which they contribute to arthritic phenotypes are not known. In this study we used an integrated transcriptomic and epigenomic analysis in primary human monocytes to study PGE2-TNF crosstalk, and how it is regulated by IFN-g, as occurs in RA synovial macrophages. We identified a (TNF + PGE2)-induced gene expression signature that is enriched in RA and post-immune checkpoint blockade arthritis macrophage subsets and includes genes in pathogenic IL-1, Notch and neutrophil chemokine pathways. This gene expression signature, which is distinct from canonical inflammatory NF-kB target genes such as TNF, IL6 and IL12B, was driven by cooperation of PGE2-induced AP-1, CEBP and NR4A family transcription factors with TNF-induced NF-kB activity. Unexpectedly, IFN-g suppressed induction AP-1, CEBP and NR4A activity to ablate induction of IL-1, Notch and neutrophil chemokine genes, while promoting expression of distinct inflammatory genes such as TNF and T cell chemokines like CXCL10. These results reveal the basis for synergistic induction of inflammatory genes by PGE2 and TNF, and a novel regulatory axis whereby IFN-g and PGE2 oppose each other to determine the balance between two distinct TNF-induced inflammatory gene expression programs.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL16791; GPL24676,,RA=0; control=0; other/unclear=48; total=48,low,10,human; total samples >=20; processed data likely available; clinical metadata mentioned; tissue/source clear; RA/control groups unclear; no RA samples parsed,matched rheumatoid arthritis,synovium; macrophage; monocyte; T cell,no,yes,yes,yes,2025/03/27,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE272019,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE302355,Synovial MS4A4A correlates with inflammation and counteracts response to corticosteroids in arthritis,"MS4A4A belongs to the MS4A tetraspan protein superfamily and is selectively expressed by the monocyte-macrophage lineage. In this study, we aimed to evaluate the role of MS4A4A+ macrophages in rheumatoid arthritis (RA) pathogenesis and response to treatment. RNA sequencing and immunohistochemistry of synovial samples from either early treatment-naïve or active chronic RA patients showed that MS4A4A expression positively correlated with synovial inflammation. Synovial macrophages from patients treated with corticosteroids (CS: Dexamethasone) exhibited an enhanced expression of MS4A4A and Fc γ receptor (FcγR) 3. Accordingly, CS enhanced in vitro the expression of MS4A4A and FcγR3 in human and murine macrophages. In an experimental model of arthritis, Ms4a4a deletion had no effect on the diseases course, but was associated with enhanced therapeutic response selectively to CS. These results suggest that macrophage expression of MS4A4A represents a novel biomarker of joint inflammation in RA and that its upregulation in concert with FcgR3 by CS counteracts the therapeutic activity of these drugs. Macrophage MS4A4A may represent a novel biomarker of joint inflammation in RA and a target to amplify the therapeutic activity of corticosteroids.",Mus musculus,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL30172,,RA=0; control=0; other/unclear=42; total=42,low,10,human; total samples >=20; processed data likely available; clinical metadata mentioned; tissue/source clear; RA/control groups unclear; no RA samples parsed,matched rheumatoid arthritis,macrophage; monocyte,no,yes,yes,yes,2025/08/26,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE302355,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE95588,Macrophage polarization controlled by fibroblast crosstalk and targeted by medications in rheumatoid arthritis,"In this study, we performed RNAseq on human macropahges following a tumor necrosis factor response with and without human fibroblasts, the representative stromal cell type in the synovial lining of joints that become activated during inflammatory arthritis. Our RNAseq analysis reveals a crosstalk pathway between macrophages and fibroblasts that emerges as a result of co-culture that we call the MTF polarization phenotype. We test multiple drugs with RA indications and candidate therapies and report that the genes that shaped by the MTF phenotype are opposed in their expression by known therapies. Our RA joint inflammation model data provides insights into the cellular crosstalk mechanisms between macrophages and fibroblasts as well additional knowledge into RA drug mechanisms of action.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL16791; GPL20301,,RA=0; control=0; other/unclear=74; total=74,low,10,human; total samples >=20; processed data likely available; clinical metadata mentioned; tissue/source clear; RA/control groups unclear; no RA samples parsed,matched rheumatoid arthritis,synovium; synovial fibroblast; PBMC; macrophage; T cell,yes,yes,yes,yes,2019/03/01,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE95588,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
GSE97476,RA-MAP: mapping molecular immunological landscapes in early rheumatoid arthritis and healthy vaccine recipients,This SuperSeries is composed of the SubSeries listed below.,Homo sapiens,expression array,Expression profiling by array,GPL10904; GPL11154,,RA=0; control=0; other/unclear=250; total=250,low,10,human; total samples >=20; processed data likely available; clinical metadata mentioned; tissue/source clear; RA/control groups unclear; no RA samples parsed,matched rheumatoid arthritis,blood; monocyte; T cell,yes,yes,yes,yes,2021/05/12,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE97476,2026-06-12,auto-collected from GEO metadata; manual review needed for sample groups
