accession,title,organism,technology,geo_study_type,gpl_accessions,sample_count,sample_count_confidence,score,score_reason,ra_relevance,tissue,case_control_hint,treatment_hint,clinical_info_hint,source_journals,source_journal_impact_factor,source_journal_impact_factor_year,gse_reuse_total_count,publication_date,last_update_date,url,search_date,manual_review,notes
GSE189136,Targeting MyD88 Downregulates Inflammatory Mediators and Pathogenic Processes in PBMC From DMARDs-Naïve Rheumatoid Arthritis Patients,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,RA=19; control=0; total=19,medium,60,human; RA samples clear; RA/control counts shown; tissue/source clear,matched rheumatoid arthritis,blood; PBMC,yes,yes,no,Frontiers in pharmacology,5.4,2025,0,2021/11/30,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE189136,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE191101,"Targeted inhibition of TAK1 phosphorylation at Thr184,184 sites by Tubuloside B to improve rheumatoid arthritis synovium function",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL20795,RA=8; control=0; total=8,medium,60,human; RA samples clear; RA/control counts shown; tissue/source clear,matched rheumatoid arthritis,synovium,yes,yes,no,,,,0,2021/12/18,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE191101,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE197057,Expression data (U133 Plus 2.0) from fibroblast like synoviocytes from patients with rheumatoid arthritis (RA-FLS) stimulated by LIGHT.,Homo sapiens,expression array,Expression profiling by array,GPL570,RA=8; control=0; total=8,medium,60,human; RA samples clear; RA/control counts shown; tissue/source clear,matched rheumatoid arthritis,synovial fibroblast; T cell; B cell,yes,yes,no,Molecular biology reports,3.2,2025,1,2022/02/20,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE197057,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE200030,Regulation of type I interferon signature by VGLL3 in the fibroblast-like synoviocytes of rheumatoid arthritis patients via targeting the Hippo pathway,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,RA=2; control=0; total=2,medium,60,human; RA samples clear; RA/control counts shown; tissue/source clear,matched rheumatoid arthritis,synovial fibroblast,yes,yes,no,Arthritis research & therapy,5.4,2025,0,2022/08/17,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE200030,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE201667,RNAseq of CD4 T cells from female Rheumatoid arthritis patients [ConA + LPS],Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL11154,RA=3; control=0; total=3,medium,60,human; RA samples clear; RA/control counts shown; tissue/source clear,matched rheumatoid arthritis,PBMC; T cell,no,yes,no,,,,0,2025/04/27,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE201667,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE205795,Effect of Schisandrin on Rheumatoid Synovial Fibroblast-like Synoviocytes,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,RA=6; control=0; total=6,medium,60,human; RA samples clear; RA/control counts shown; tissue/source clear,matched rheumatoid arthritis,synovium; synovial fibroblast,yes,yes,no,,,,1,2023/06/09,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE205795,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE206848,Dysregulated gene expression in human osteoarthritic (OA) and rheumatoid arthritis (RA) synovium,Homo sapiens,expression array,Expression profiling by array,GPL570,RA=16; control=0; total=16,medium,60,human; RA samples clear; RA/control counts shown; tissue/source clear,matched rheumatoid arthritis,synovium,yes,yes,no,,,,51,2022/08/01,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE206848,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE214842,ATF6αis required for the inflammation and survival in rheumatoid arthritis fibroblast-like synoviocytes,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL11154,RA=6; control=0; total=6,medium,60,human; RA samples clear; RA/control counts shown; tissue/source clear,matched rheumatoid arthritis,synovium; synovial fibroblast,yes,yes,no,Frontiers in immunology,7.0,2025,0,2022/10/06,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE214842,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE241249,Transcriptome profile of fibroblast-like synoviocytes with FTO knockdown,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,RA=6; control=0; total=6,medium,60,human; RA samples clear; RA/control counts shown; tissue/source clear,matched rheumatoid arthritis,synovium; synovial fibroblast,yes,yes,no,,,,0,2024/12/31,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE241249,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE242753,Mitochondrial N-formylmethionine instructs tissue-inflammatory CD4+ T cells by redirecting endolysosomal pathways,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,RA=16; control=0; total=16,medium,60,human; RA samples clear; RA/control counts shown; tissue/source clear,matched rheumatoid arthritis,PBMC; T cell,yes,yes,no,,,,0,2025/09/01,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE242753,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE243821,LncRNA of human Fibroblast-like synoviocytes of rheumatoid arthritis and osteoarthritis,Homo sapiens,expression array,Expression profiling by array,GPL24592,RA=3; control=0; other/unclear=3; total=6,medium,60,human; RA samples clear; RA/control counts shown; tissue/source clear,matched rheumatoid arthritis,synovium; synovial fibroblast,yes,yes,no,,,,1,2023/09/27,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243821,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE248474,Transcriptome-wide profiles in RA FLS with NAT10 knockdown,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,RA=6; control=0; total=6,medium,60,human; RA samples clear; RA/control counts shown; tissue/source clear,matched rheumatoid arthritis,synovium; synovial fibroblast,yes,yes,no,,,,0,2025/06/30,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE248474,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE261149,Ginsenoside compound K plays an anti-inflammatory effect without inducing glucose metabolism disorder in adjuvant-induced arthritis rats [human],Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,RA=9; control=0; total=9,medium,60,human; RA samples clear; RA/control counts shown; tissue/source clear,matched rheumatoid arthritis,synovium; synovial fibroblast,no,yes,no,,,,0,2025/03/08,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE261149,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE272100,Anti-PD-L1 antibodies exacerbate arthritis and pain via increased production of CXCL8/IL-8 and FGF9 in synovial fibroblasts,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,RA=4; control=0; total=4,medium,60,human; RA samples clear; RA/control counts shown; tissue/source clear,matched rheumatoid arthritis,synovium; synovial fibroblast; T cell,no,yes,no,,,,0,2025/07/11,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE272100,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE276772,"NUSAP1 regulates Rheumatoid Arthritis Fibroblast-Like Synoviocyte Phenotypes Implicated in Joint Damage, and a cancer-associated transcriptomic signature.",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,RA=6; control=0; total=6,medium,60,human; RA samples clear; RA/control counts shown; tissue/source clear,matched rheumatoid arthritis,synovium; synovial fibroblast; T cell,yes,yes,no,,,,1,2024/11/21,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE276772,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE278613,"A New Role for Huntingtin-Interacting Protein 1-Related (HIP1R) in Rheumatoid Arthritis Synovial Fibroblast Transcriptomic, Biological Processes and Invasiveness",Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,RA=9; control=0; total=9,medium,60,human; RA samples clear; RA/control counts shown; tissue/source clear,matched rheumatoid arthritis,synovium; synovial fibroblast; T cell,yes,yes,no,Cells,6.0,2025,0,2024/11/21,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE278613,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE289490,RNA-seq of RA-FLS(siNC vs siFUNDC1),Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL34295,RA=12; control=0; total=12,medium,60,human; RA samples clear; RA/control counts shown; tissue/source clear,matched Rheumatoid Arthritis,synovium; synovial fibroblast,no,yes,no,,,,0,2026/06/30,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE289490,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; auto-collected from GEO metadata; manual review needed for sample groups; auto-collected from GEO metadata; manual review needed for sample groups; all samples are RA patient-derived FLS under siNC/siFUNDC1 conditions; no healthy control group
GSE301891,RNA-Seq Analysis of Fibroblast-Like Synoviocytes Treated With Lutein in a Rheumatoid Arthritis Context,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,RA=6; control=0; total=6,medium,60,human; RA samples clear; RA/control counts shown; tissue/source clear,matched Rheumatoid Arthritis,synovial fibroblast,yes,yes,no,International journal of medical sciences,3.7,2025,0,2026/06/25,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE301891,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups; auto-collected from GEO metadata; manual review needed for sample groups; auto-collected from GEO metadata; manual review needed for sample groups; all samples are RA-derived MH7A synovial fibroblasts under lutein/vehicle conditions; no healthy control group
GSE38064,Expression data of subtypes of inflamed synovia from patients with rheumatoid arthritis,Homo sapiens,expression array,Expression profiling by array,GPL570,RA=12; control=0; total=12,medium,60,human; RA samples clear; RA/control counts shown; tissue/source clear,matched rheumatoid arthritis,synovium,no,no,no,PloS one,2.8,2025,0,2018/12/25,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE38064,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE65908,Identification of genes regulating TRAIL-induced apoptosis in rheumatoid arthritis fibroblasts-like synoviocytes (RA FLS),Homo sapiens,expression array,Expression profiling by array,GPL10523,RA=12; control=0; total=12,medium,60,human; RA samples clear; RA/control counts shown; tissue/source clear,matched rheumatoid arthritis,synovium; synovial fibroblast; T cell,no,yes,no,Genes and immunity,4.2,2025,0,2018/02/12,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65908,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE133527,miR-221-3p drives the Shift of M2-Macrophage to a Pro-Inflammatory Function by Modulating JAK3/STAT3 Signaling and is Increased in Rheumatoid Arthritis,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL18573,RA=0; control=10; other/unclear=10; total=20,low,50,human; controls clear; RA/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear; no RA samples parsed,matched rheumatoid arthritis,blood; macrophage; monocyte,yes,yes,yes,Frontiers in immunology,7.0,2025,1,2020/01/12,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE133527,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE229449,Peripheral blood cellular dynamics of Rheumatoid arthritis treatment informs about efficacy of response to disease modifying drugs.,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL16791,RA=0; control=20; other/unclear=40; total=60,low,50,human; controls clear; RA/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear; no RA samples parsed,matched rheumatoid arthritis,blood; PBMC,yes,yes,yes,Scientific reports,4.9,2025,1,2023/06/28,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE229449,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE253553,Two Broad Categories Overlapping With Rheumatoid Arthritis Observed in Synovial Biopsies from Patients With Juvenile Idiopathic Arthritis,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL20301,RA=0; control=24; total=24,low,50,human; controls clear; RA/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear; no RA samples parsed,matched rheumatoid arthritis,synovium,yes,yes,yes,"Arthritis & rheumatology (Hoboken, N.J.)",10.9,2024,0,2024/05/25,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE253553,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE282660,Salsalate improves the anti-tumor efficacy of Lenvatinib in MASH-driven hepatocellular carcinoma.,Homo sapiens; Mus musculus,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL18460; GPL30172,RA=0; control=9; other/unclear=27; total=36,low,50,human; controls clear; RA/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear; no RA samples parsed,matched rheumatoid arthritis,B cell,yes,yes,yes,JHEP reports : innovation in hepatology,7.5,2025,1,2025/02/01,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282660,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE79702,USP15 regulates type I interferon response in vivo and is required for pathogenesis of microbial and autoimmune neuroinflammation,Mus musculus,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL17021,RA=0; control=3; other/unclear=22; total=25,low,50,human; controls clear; RA/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear; no RA samples parsed,matched rheumatoid arthritis,blood,yes,yes,yes,Nature immunology,26.5,2025,2,2016/10/10,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE79702,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE216679,Reduced CD8 T cell exhaustion in DR4 risk subjects is selectively augmented with therapy [CD8s],Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL16791,RA=0; control=24; other/unclear=16; total=40,low,45,human; controls clear; RA/control counts shown; total samples >=20; tissue/source clear; no RA samples parsed,matched rheumatoid arthritis,blood; T cell,yes,yes,no,,,,0,2023/06/30,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE216679,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE104589,Identification of IL-27 as potent regulator of inflammatory osteolysis associated with vitamin E-blended ultra-high molecular weight polyethylene debris of orthopedic implants,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL16791,RA=0; control=9; total=9,low,40,human; controls clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear; no RA samples parsed,matched rheumatoid arthritis,blood; macrophage; monocyte; T cell,yes,yes,yes,Acta biomaterialia,10.4,2025,1,2019/05/06,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE104589,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE155258,A zebrafish model of Granulin deficiency reveals essential roles in myeloid cell differentiation,Danio rerio,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL21741,RA=0; control=6; total=6,low,40,human; controls clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear; no RA samples parsed,matched rheumatoid arthritis,macrophage,yes,yes,yes,,,,1,2020/07/28,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE155258,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE186166,Treatment of human polymorphonuclear neutrophils with platelet-derived mitochondria or damage-associated molecular patterns,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,RA=0; control=4; other/unclear=8; total=12,low,40,human; controls clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear; no RA samples parsed,matched rheumatoid arthritis,blood; macrophage,yes,yes,yes,EMBO reports,6.0,2025,0,2022/09/15,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE186166,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE243512,Transcriptomic Analysis of Isolated Monocytes from heathy donors and JIA patinets using Nanostring Technology,Homo sapiens,expression array,Expression profiling by array,GPL18649,RA=0; control=6; total=6,low,40,human; controls clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear; no RA samples parsed,matched rheumatoid arthritis,blood; monocyte,yes,yes,yes,Frontiers in immunology,7.0,2025,0,2023/09/21,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE243512,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE282993,TNFα Downregulates STX17 Blocking Autophagy and Impairing Platelet Metabolism and Clot Contraction,Mus musculus,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24247,RA=0; control=8; total=8,low,40,human; controls clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear; no RA samples parsed,matched rheumatoid arthritis,blood,yes,yes,yes,,,,1,2025/03/31,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE282993,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE284057,5’ HOXD genes differentially regulate gene expression of Synovial Fibroblasts in hand joints,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL20301,RA=0; control=12; total=12,low,40,human; controls clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear; no RA samples parsed,matched Rheumatoid Arthritis,synovium; synovial fibroblast,yes,no,yes,,,,0,2026/06/01,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE284057,2026-07-11,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE98368,IFN-γ Represses M2 Gene Expression in Human Macrophages by Suppressing and Disassembling MAF-binding Enhancers [RNA-seq],Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL11154,RA=0; control=16; total=16,low,40,human; controls clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear; no RA samples parsed,matched rheumatoid arthritis,blood; PBMC; macrophage; monocyte,yes,yes,yes,Immunity,30.6,2025,2,2017/07/01,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE98368,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE203359,Strand-Specific Nuclear Transcriptome Analysis of Osteoclast Precursor Cells,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL16791,RA=0; control=2; other/unclear=2; total=4,low,35,human; controls clear; RA/control counts shown; tissue/source clear; no RA samples parsed,matched rheumatoid arthritis,blood; monocyte,yes,yes,no,Cellular & molecular immunology; bioRxiv : the preprint server for biology,23.9,2025,0,2022/11/01,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE203359,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE236924,SIRPa agonist antibody treatment ameliorates experimental arthritis and colitis [array],Homo sapiens,expression array,Expression profiling by array,GPL570,RA=0; control=7; other/unclear=125; total=132,low,35,human; controls clear; RA/control counts shown; total samples >=20; clinical metadata mentioned; tissue/source clear; no RA samples parsed; mixed disease cohort unclear,matched rheumatoid arthritis,monocyte; T cell,yes,yes,yes,Cell reports. Medicine,14.0,2025,11,2023/08/24,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE236924,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE280445,Effect of MSMP inhibition on the gene expression profiles of rheumatoid fibroblast-like synoviocytes,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL24676,RA=0; control=3; other/unclear=3; total=6,low,35,human; controls clear; RA/control counts shown; tissue/source clear; no RA samples parsed,matched rheumatoid arthritis,synovium; synovial fibroblast,yes,yes,no,,,,1,2024/10/28,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE280445,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE113825,Microarray profiling analysis of long non-coding RNAs expression in osteoarthritis,Homo sapiens,expression array,Expression profiling by array,GPL22516; GPL22517,RA=0; control=10; other/unclear=10; total=20,low,25,human; controls clear; RA/control counts shown; total samples >=20; no RA samples parsed; mixed disease cohort unclear,matched rheumatoid arthritis,,yes,no,no,PeerJ,2.9,2025,17,2018/05/11,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE113825,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE202712,Meg-01 cell line expression data after propionate stimulation,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL16791,RA=0; control=3; other/unclear=3; total=6,low,25,human; controls clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear; no RA samples parsed; mixed disease cohort unclear,matched rheumatoid arthritis,T cell,yes,yes,yes,Frontiers in immunology,7.0,2025,0,2022/05/14,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE202712,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE234510,Intron retention phenomenon in phospholipase C gamma 1 isoform: how the Harpagophytum procumbens extract works? A cellular and bioionformatic approach.,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL16791,RA=0; control=9; total=9,low,25,human; controls clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear; no RA samples parsed; mixed disease cohort unclear,matched rheumatoid arthritis,synovium; blood,yes,yes,yes,International journal of molecular sciences,5.6,2025,0,2025/09/17,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE234510,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE291300,Targeting eRNA-producing super-enhancers regulates TNFα expression and mitigates chronic inflammation in mice and patient-derived immune cells [RNA-KO],Mus musculus,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL21493,RA=0; control=6; other/unclear=6; total=12,low,25,human; controls clear; RA/control counts shown; clinical metadata mentioned; tissue/source clear; no RA samples parsed; mixed disease cohort unclear,matched rheumatoid arthritis,macrophage,yes,yes,yes,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",14.3,2024-2025,0,2025/03/11,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE291300,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE86139,Induction of alternative proinflammatory cytokines accounts for sustained psoriasiform skin inflammation in IL-17C+IL-6KO mice [array],Mus musculus,expression array,Expression profiling by array,GPL16570,RA=0; control=2; other/unclear=10; total=12,low,20,human; controls clear; RA/control counts shown; clinical metadata mentioned; no RA samples parsed; mixed disease cohort unclear,matched rheumatoid arthritis,,yes,yes,yes,The Journal of investigative dermatology,5.7,2024,0,2017/08/01,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE86139,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE107105,Microarray analysis of freshly isolated synovial fibroblast subsets in patients with rheumatoid arthritis or osteoarthritis,Homo sapiens,expression array,Expression profiling by array,GPL16686,RA=0; control=0; other/unclear=36; total=36,low,0,human; total samples >=20; tissue/source clear; RA/control groups unclear; no RA samples parsed; mixed disease cohort unclear,matched rheumatoid arthritis,synovial fibroblast,no,no,no,Nature communications,18.1,2025,3,2018/01/17,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE107105,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE116780,RNA sequencing of CRISPR/Cas9-generated A20 DUB-inative and A20 knock-out U937 cells to elucidate the role of human A20 DUB-domain,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL18573,RA=0; control=0; other/unclear=28; total=28,low,0,human; total samples >=20; clinical metadata mentioned; tissue/source clear; RA/control groups unclear; no RA samples parsed; mixed disease cohort unclear,matched rheumatoid arthritis,macrophage; monocyte,yes,yes,yes,Annals of the rheumatic diseases,24.0,2025,1,2019/07/10,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE116780,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE122412,Engulfment gene ELMO1 in neutrophils as a promoter of inflammatory arthritis,Mus musculus,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL19057,RA=0; control=0; other/unclear=16; total=16,low,0,human; clinical metadata mentioned; tissue/source clear; RA/control groups unclear; no RA samples parsed,matched rheumatoid arthritis,blood; macrophage,no,yes,yes,Nature immunology,26.5,2025,0,2019/03/19,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE122412,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE126476,Gene expression analysis of vascular pathophysiology related to anti-TNF treatment in rheumatoid arthritis,Homo sapiens,expression array,Expression profiling by array,GPL15207,RA=0; control=0; other/unclear=19; total=19,low,0,human; clinical metadata mentioned; tissue/source clear; RA/control groups unclear; no RA samples parsed,matched rheumatoid arthritis,blood; PBMC,yes,yes,yes,Arthritis research & therapy,5.4,2025,0,2019/04/25,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE126476,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE128638,TNF-induced Inflammatory Genes Escape Repression in Fibroblast-like Synoviocytes: Transcriptomic and Epigenomic Analysis [RNA-seq],Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL16791,RA=0; control=0; other/unclear=5; total=5,low,0,human; clinical metadata mentioned; tissue/source clear; RA/control groups unclear; no RA samples parsed,matched rheumatoid arthritis,synovium; synovial fibroblast; blood; PBMC; macrophage; monocyte,yes,yes,yes,Annals of the rheumatic diseases,24.0,2025,0,2019/04/29,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE128638,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE131866,IL-6 mediated transcriptional programming of CD4+ T cells in early rheumatoid arthritis,Homo sapiens,expression array,Expression profiling by array,GPL10558,RA=0; control=0; other/unclear=42; total=42,low,0,human; total samples >=20; tissue/source clear; RA/control groups unclear; no RA samples parsed,matched rheumatoid arthritis,T cell,yes,yes,no,Frontiers in immunology,7.0,2025,0,2019/05/29,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE131866,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE133426,Human memory Th17 cell populations change into anti-inflammatory cells with regulatory capacity upon exposure to active Vitamin D,Homo sapiens,expression array,Expression profiling by array,GPL10558,RA=0; control=0; other/unclear=6; total=6,low,0,human; clinical metadata mentioned; tissue/source clear; RA/control groups unclear; no RA samples parsed,matched rheumatoid arthritis,PBMC; T cell,yes,yes,yes,Frontiers in immunology,7.0,2025,0,2019/06/28,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE133426,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
GSE144339,B Cells Polarize Pathogenic Inflammatory T Helper Subsets through ICOSL-Dependent Glycolysis,Homo sapiens,bulk RNA-seq,Expression profiling by high throughput sequencing,GPL20301,RA=0; control=0; other/unclear=6; total=6,low,0,human; tissue/source clear; RA/control groups unclear; no RA samples parsed; mixed disease cohort unclear,matched rheumatoid arthritis,blood; T cell; B cell,no,yes,no,,,,1,2022/06/30,,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE144339,2026-06-12,NULL,auto-collected from GEO metadata; manual review needed for sample groups
